id,term,lang,lang_name,pos,register,severity,severity_label,categories,is_slur,slur_type,context_dependent,gloss_en,literal_en,variants,euphemisms,formal_equivalent,etymology,notes,false_friends,also_used_in,confidence,sources
bcl-boto,boto,bcl,Bikol Central,n,standard,3,strong,sexual-anatomy,False,,False,penis (vulgar),,,,,,,'boto' = vote in Tagalog/Bikol civic usage — innocent and extremely common,,high,aninipot
bcl-buraot,buraot,bcl,Bikol Central,adj,slang,1,mild,insult-character,False,,False,mooch; greedy freeloader,,,,,,Bikol slang that spread nationally through memes and showbiz.,,tgl,high,model
bcl-buray,buray,bcl,Bikol Central,n,standard,3,strong,sexual-anatomy,False,,False,vagina (vulgar),,buday,,,,,,,high,aninipot|model
bcl-buray-ni-ina-mo,buray ni ina mo,bcl,Bikol Central,phrase,standard,4,severe,sexual-anatomy|family-honor,False,,False,your mother's vagina — the heavy Bikol curse,,burayniinamo|buray ni ina,,,,,,,medium,model
bcl-etoks,etoks,bcl,Bikol Central,n,slang,1,mild,insult-character,False,,False,annoying attention-seeker (from 'stalker'),,,,,,,,,low,aninipot
bcl-kado,kado,bcl,Bikol Central,intj,standard,2,moderate,sexual-act|expletive,False,,False,sex-act expletive used for frustration or surprise,,,,,,,,,medium,aninipot
bcl-lintian,lintian,bcl,Bikol Central,intj,standard,1,mild,expletive|malediction,False,,False,lightning-curse (cf. lintik/linte),,linti,,,,,,,medium,model
bcl-masimot,masimot,bcl,Bikol Central,intj,standard,2,moderate,malediction,False,,False,'may you be eaten (by an aswang)' — ill-wishing curse,,,,,,Invokes the aswang of Bikol folklore.,,,medium,aninipot
bcl-masing-gan,masing-gan,bcl,Bikol Central,n,slang,1,mild,insult-character,False,,False,motor-mouth; nag (from 'machine gun'),,,,,English 'machine gun',,,,medium,aninipot
bcl-pisot,pisot,bcl,Bikol Central,adj,standard,2,moderate,masculinity-taunt,False,,False,uncircumcised (taunt; cf. Tagalog 'supot'),,,,,,,,,medium,model
bcl-uyam,uyam,bcl,Bikol Central,intj,standard,1,mild,expletive,False,,False,expression of deep annoyance/frustration,,,,,,,,,medium,aninipot
cbk-carajo,carajo,cbk,Chavacano (Zamboangueño),intj,standard,2,moderate,expletive,False,,False,damn it (Spanish 'carajo'),,karaho,,,,,,,medium,model
cbk-chinga,chinga,cbk,Chavacano (Zamboangueño),intj,standard,4,severe,expletive|sexual-act,False,,False,fuck (the Chavacano F-word),,chinga vos|chingar,,,Spanish 'chingar',,,,high,bienchabacano
cbk-chingona,chingona,cbk,Chavacano (Zamboangueño),n,standard,3,strong,insult-character,False,,True,"female-directed 'chinga' derivative — offensive, though sometimes affectionate between close friends",,,,,,,,,high,bienchabacano
cbk-cono,coño,cbk,Chavacano (Zamboangueño),intj,standard,3,strong,sexual-anatomy|expletive,False,,False,cunt; damn (retains full Spanish vulgarity in Chavacano),,cono|konyo,,,,,"Manila slang 'conyo/konyo' = posh rich kid — mild tease, not vulgar",,high,bienchabacano
cbk-cono-de-vos-nana,coño de vos nana,cbk,Chavacano (Zamboangueño),phrase,standard,4,severe,sexual-anatomy|family-honor,False,,False,your mother's cunt,,conyobohnana|coño vos nana|cono de vos nana,coconana|chipla te,,,,,,high,bienchabacano
cbk-de-mal-herencia,de mal herencia,cbk,Chavacano (Zamboangueño),phrase,standard,2,moderate,insult-character|family-honor,False,,False,of bad breeding / bad blood,,,,,,,,,medium,bienchabacano
cbk-maleducao,maleducao,cbk,Chavacano (Zamboangueño),adj,standard,1,mild,insult-character,False,,False,ill-mannered; rude,,mal educao,,,,,,,high,bienchabacano
cbk-pendejo,pendejo,cbk,Chavacano (Zamboangueño),n,standard,2,moderate,insult-intelligence,False,,False,idiot; coward,,pendeja,,,,,,,high,bienchabacano
cbk-salvaje,salvaje,cbk,Chavacano (Zamboangueño),adj,standard,2,moderate,insult-character,False,,False,savage; brute (cf. Tagalog 'salbahe'),,,,,,,,,high,bienchabacano
cbk-tonto,tonto,cbk,Chavacano (Zamboangueño),adj,standard,2,moderate,insult-intelligence,False,,False,fool,,tonta,,,,,,,high,bienchabacano
